key	publishingOrganizationKey	doi	type	title	createdby	created	modified	
95c938a8-f762-11e1-a439-00145eb45e9a	b554c320-0560-11d8-b851-b8a03c50a862	doi:10.15468/htptzr	OCCURRENCE	R. L. McGregor Herbarium Vascular Plants Collection		2008-09-23T07:41:16.000+0000	2018-01-24T17:41:31.548+0000	
8937328e-f762-11e1-a439-00145eb45e9a	8ef49720-e6dc-11dc-8b77-b8a03c50a862	doi:10.15468/i9cerk	OCCURRENCE	Oklahoma Vascular Plants Database Provider		2008-04-09T13:42:42.000+0000	2016-08-18T12:32:37.996+0000	
832cb04e-f762-11e1-a439-00145eb45e9a	bd561840-efdc-11d9-a329-b8a03c50a862	doi:10.15468/hdpruf	OCCURRENCE	Fairchild Tropical Botanic Garden Virtual Herbarium Darwin Core format		2007-04-03T12:40:17.000+0000	2016-08-18T12:32:37.996+0000	
865df020-f762-11e1-a439-00145eb45e9a	a3c228d0-3110-11db-abb8-b8a03c50a862	doi:10.15468/a3lnmd	OCCURRENCE	EURISCO, The European Genetic Resources Search Catalogue		2007-10-09T12:05:49.000+0000	2016-10-17T11:44:19.147+0000	
85312280-f762-11e1-a439-00145eb45e9a	c4254a00-cb2b-11d8-bf68-b8a03c50a862	doi:10.15468/adw1tp	OCCURRENCE	Plants of Papua New Guinea		2007-04-03T12:40:17.000+0000	2016-08-18T12:32:37.996+0000	
85802736-f762-11e1-a439-00145eb45e9a	83e105d0-1e21-11de-85d0-fe7fa1df8ee2	doi:10.15468/ce7fox	OCCURRENCE	United States National Plant Germplasm System Collection		2007-03-22T15:41:16.000+0000	2016-08-18T12:32:37.996+0000	
85ac3c18-f762-11e1-a439-00145eb45e9a	4c0e9f60-c489-11d8-bf60-b8a03c50a862	doi:10.15468/3ii4qz	OCCURRENCE	USU-UTC Specimen Database		2007-03-29T12:29:18.000+0000	2016-08-18T12:32:37.996+0000	
85818aea-f762-11e1-a439-00145eb45e9a	a3c228d0-3110-11db-abb8-b8a03c50a862	doi:10.15468/uw1buh	OCCURRENCE	The System-wide Information Network for Genetic Resources (SINGER)		2007-03-23T08:24:07.000+0000	2016-08-18T12:32:37.996+0000	
833db434-f762-11e1-a439-00145eb45e9a	8e1a97a0-3ca8-11d9-8439-b8a03c50a862	doi:10.15468/7uigwo	OCCURRENCE	The AAU Herbarium Database		2007-04-03T12:40:17.000+0000	2016-08-18T12:32:09.598+0000	
c40738de-6c7c-11e2-90ce-00145eb45e9a	59c81290-df0e-11d8-b22e-b8a03c50a862	doi:10.15468/cft0di	OCCURRENCE	Type herbarium, Göttingen (GOET)		2013-02-01T14:36:29.000+0000	2017-11-13T11:04:01.875+0000	
902c8fe7-8f38-45b0-854e-c324fed36303	f5fc4e61-b7a0-414b-ab68-b41cb23e7fdc	doi:10.15468/cpnhcc	OCCURRENCE	Moscow University Herbarium (MW)		2017-11-02T15:36:00.518+0000	2018-02-01T19:51:27.689+0000	
1a9d08bb-9e2c-4540-8f7f-3205846b6ddc	52c8f620-1816-11da-9544-b8a03c50a862	doi:10.15468/yhb6ky	OCCURRENCE	UTEP Plants (Arctos)		2016-11-07T21:03:51.464+0000	2018-01-05T08:11:03.932+0000	
4fa894f4-b6c6-4ec0-b816-9bb03b3ca106	fb702600-a84e-11de-978d-b8a03c50a862	doi:10.15468/i5cqdk	OCCURRENCE	Consortium of California Herbaria		2014-01-10T20:18:48.953+0000	2018-01-31T09:14:11.617+0000	
b3e962e6-c1c4-4d52-87d2-7926d06750e7	2a7e3080-28a9-11dd-97cd-b8a03c50a862	doi:10.15472/3mos0q	OCCURRENCE	Caracterización poblacional y de hábitat de chigüiros en una ventana de estudio del municipio de Paz de Ariporo, Casanare		2017-09-22T19:23:49.723+0000	2017-09-22T20:43:47.876+0000	
dcce70f7-06be-4de3-aed1-d811343566ea	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	doi:10.15468/pxqupc	OCCURRENCE	Logan City Council Species Sightings		2017-09-21T19:44:55.699+0000	2018-01-26T14:04:53.275+0000	
83ae84cf-88e4-4b5c-80b2-271a15a3e0fc	32e82a64-c9b4-4b2f-9fbd-d446309b973f	doi:10.15468/mnjkvv	OCCURRENCE	Auckland Museum Botany Collection		2016-05-22T23:26:35.307+0000	2018-01-12T00:25:40.200+0000	
b89a7f02-021d-4e7a-b19f-575d10578a6d	0674aea0-a7e1-11d8-9534-b8a03c50a862	doi:10.15468/9uzqe3	OCCURRENCE	The Vascular Plants Collection of the University of Goettingen		2017-09-14T13:09:39.379+0000	2017-09-14T13:09:39.379+0000	
ab1de8e9-8a18-4ffe-b2c6-e13ffbec3e7e	0674aea0-a7e1-11d8-9534-b8a03c50a862	doi:10.15468/2wbxxh	OCCURRENCE	The Vascular Plant Collection at the Herbarium Tubingense		2015-05-12T14:41:40.080+0000	2017-09-14T13:09:43.894+0000	
84a649ce-ff81-420d-9c41-aa1de59e3766	adc174cd-c752-4eee-9630-7c1209eb1c4a	doi:10.15468/jayxmn	OCCURRENCE	Individual Sightings		2012-03-26T13:14:48.000+0000	2018-01-27T18:34:11.410+0000	
244de083-48f9-4000-b8bf-8988e5d063aa	78b332bb-022d-4d9f-b167-934d3b37e5b6	doi:10.15468/n3fni9	OCCURRENCE	Espèces envahissantes de la Guinée forestière extraites dans la base de données de CRRA Sérédou Macenta, IRAG.		2017-08-30T12:29:16.916+0000	2017-10-30T20:06:02.988+0000	
98407d8d-ff58-4298-90f1-0d59f3421df2	57254bd0-8256-11d8-b7ed-b8a03c50a862	doi:10.15468/gfwydn	OCCURRENCE	Asociación Jardín Botánico La Laguna - Herbarium LAGU		2017-08-02T07:54:14.202+0000	2017-08-28T13:27:00.461+0000	
767bddaa-9e6a-4eb1-bd12-f94a2b39a7d6	f6e2efc9-42a3-47ea-99c6-3eda8d653cc9	doi:10.15468/ucgdyq	OCCURRENCE	EFC - Herbário Escola de Florestas Curitiba		2015-05-14T16:20:56.419+0000	2017-12-29T14:26:20.777+0000	
f934f8e2-32ca-46a7-b2f8-b032a4740454	66522820-055c-11d8-b84e-b8a03c50a862	doi:10.15468/7gudyo	OCCURRENCE	CAS Botany (BOT)		2012-04-18T23:01:51.000+0000	2018-01-29T18:27:19.735+0000	
a8e78a51-12b2-4ca1-8945-6d909022ef6a	6cc5aff1-f24c-4d67-a827-a666dc680b66	doi:10.15468/f08gej	OCCURRENCE	HURB - Herbário do Recôncavo da Bahia		2015-05-19T17:31:29.185+0000	2017-12-29T14:19:12.236+0000	
4daff70b-fd6f-424f-aeec-75afbac828a2	eac88d99-9f6c-4031-8fc4-8088f0e0dfe7	doi:10.15472/tssi3g	OCCURRENCE	Herbario Orinocense Colombiano de la Universidad Nacional de Colombia sede Orinoquia (HORI)		2017-06-28T15:44:17.375+0000	2017-11-28T16:13:09.034+0000	
33795d9d-3f94-4b0e-a2f6-d3a03cfce7aa	a3c228d0-3110-11db-abb8-b8a03c50a862	doi:10.15468/ulk1iz	OCCURRENCE	Bioversity Collecting Mission Database		2017-06-09T10:44:06.099+0000	2017-10-31T23:05:06.268+0000	
2273e40d-26c2-4959-aea2-b6abcce16d09	04481953-6112-489f-bb8d-9703d787e3ea	doi:10.15468/gwuezt	OCCURRENCE	ICN - Herbário do Instituto de Ciências Naturais		2015-06-11T11:28:44.066+0000	2018-01-05T18:34:09.423+0000	
0bddc88d-8586-4889-9340-4a86eb63abe4	4a19e429-8f13-478e-86d7-93adb7534524	doi:10.15468/zdeuix	OCCURRENCE	Database of Vascular Plants of Himalaya		2017-06-06T05:30:03.129+0000	2017-06-06T05:31:25.892+0000	
b90cadd7-9ef5-4640-b1fe-94d4803e7129	2a7e3080-28a9-11dd-97cd-b8a03c50a862	doi:10.15472/sftwc4	OCCURRENCE	Caracterización biótica para la conservación de especies amenazadas en el área de influencia del Oleoducto Bicentenario, departamentos de Arauca y Casanare, Colombia		2017-06-05T15:45:14.771+0000	2017-06-05T15:47:19.326+0000	
b9a43c60-d2b6-445c-9362-2db65465c963	34e6e625-47cf-4d42-8054-af0c2f1b6e64	doi:10.15468/9sagov	OCCURRENCE	FURB - Herbário Dr. Roberto Miguel Klein		2015-05-11T17:22:06.136+0000	2017-12-29T14:10:05.705+0000	
c23c9745-aeb2-4bd0-a996-f8c52881bb91	57254bd0-8256-11d8-b7ed-b8a03c50a862	doi:10.15468/xbutk4	OCCURRENCE	Sammmlung Ule Brasilien Herbarium Hamburgense HBG		2017-05-17T10:05:14.750+0000	2017-05-17T10:05:14.750+0000	
ec20771d-5c61-409f-825c-3eea4118c437	658207e3-b01f-4007-b14d-64b13022cd5a	doi:10.15468/sdsazf	OCCURRENCE	CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul		2015-06-02T18:59:55.193+0000	2017-12-29T14:19:03.373+0000	
8f1960d0-6d5f-11df-8b7f-b8a03c50a862	96fbb73b-f951-4659-8f8b-fa60624a9c28	doi:10.15468/xy0eoi	OCCURRENCE	Herbarium of Namur		2010-06-18T07:45:33.000+0000	2017-04-03T11:47:27.775+0000	
a51fa32f-831d-49d6-8b8a-c7b52ae65b3b	f6e2efc9-42a3-47ea-99c6-3eda8d653cc9	doi:10.15468/udpvi1	OCCURRENCE	UPCB - Herbário do Departamento de Botânica		2015-05-14T16:24:17.668+0000	2017-12-29T14:10:17.814+0000	
4300f8d5-1ae5-49e5-a101-63894b005868	838537fc-4aeb-4980-8b58-97fbdcd1d91a	doi:10.15468/7ep9i2	OCCURRENCE	RB - Rio de Janeiro Botanical Garden Herbarium Collection		2013-07-24T13:54:26.000+0000	2018-01-10T19:40:48.512+0000	
5f78d639-26ec-473b-90c9-4efe59a0632d	9d77fdeb-100f-4b29-98ad-4effdd824457	doi:10.15472/2dbndj	OCCURRENCE	Base de Datos de Flora de la Cuenca del Río Orinoco en Colombia		2017-03-14T18:45:50.740+0000	2017-03-17T13:51:48.788+0000	
a5be4674-3ee0-4aab-9ce6-c602a7d71d18	ff90b050-c256-11db-b71b-b8a03c50a862	doi:10.15468/7rwxkh	OCCURRENCE	Bosque Mesófilo de Montaña de México		2016-12-17T16:16:49.530+0000	2017-03-11T01:12:02.491+0000	
80178f32-f762-11e1-a439-00145eb45e9a	ff90b050-c256-11db-b71b-b8a03c50a862	doi:10.15468/nfizxi	OCCURRENCE	Flora de la reserva de la biósfera de los Pantanos de Centla, en el estado de Tabasco, México		2011-07-12T10:50:22.000+0000	2017-03-11T01:02:54.333+0000	
80c60602-f762-11e1-a439-00145eb45e9a	ff90b050-c256-11db-b71b-b8a03c50a862	doi:10.15468/zp7jgv	OCCURRENCE	Flora acuática vascular y de zonas inundables del área de protección de flora y fauna Laguna de Términos, Campeche, México		2011-07-14T00:52:50.000+0000	2017-03-11T01:02:45.757+0000	
